post_id,title,url,points,comments_count,author,top_comment_author,top_comment_text
45653143,Language Support for Marginalia Search,https://www.marginalia.nu/log/a_126_multilingual/,55,6,Bogdanp,mariusor,
45640838,AWS multiple services outage in us-east-1,https://health.aws.amazon.com/health/status?ts=20251020,1923,1889,kondro,time0ut,
45652859,Practical Scheme,https://practical-scheme.net/index.html#docs,29,18,ufko_org,zippyman55,
45653350,Show HN: I'm rewriting a web server written in Rust for speed and ease of use,https://ferron.sh/,10,3,dorianniemiec,earthnail,
45653330,Pasta/80 is a simple Pascal cross compiler targeting the Z80 microprocessor,https://github.com/pleumann/pasta80,6,1,mariuz,benterix,
45632429,A laser pointer at 2B FPS [video],https://www.youtube.com/watch?v=o4TdHrMi6do,405,73,thunderbong,estimator7292,
45617948,Show HN: I'm making a detective game built on Wikipedia,https://detective.wiki/,87,16,jasonsmiles,alex-moon,
45584680,Bare Metal (The Emacs Essay),https://waxbanks.wordpress.com/2025/08/01/bare-metal-the-emacs-essay/,26,3,hpaone,billfruit,
45643163,Alibaba Cloud says it cut Nvidia AI GPU use by 82% with new pooling system,https://www.tomshardware.com/tech-industry/semiconductors/alibaba-says-new-pooling-system-cut-nvidia-gpu-use-by-82-percent,422,265,hd4,kilotaras,
45645349,Production RAG: what I learned from processing 5M+ documents,https://blog.abdellatif.io/production-rag-processing-5m-documents,402,95,tifa2up,max002,
45555960,The Tyrrany of Literacy. On oral tradition and what is lost,https://languagelog.ldc.upenn.edu/nll/?p=71545,10,4,n2j3,ofalkaed,
45644328,BERT is just a single text diffusion step,https://nathan.rs/posts/roberta-diffusion/,393,94,nathan-barry,jaaustin,
45578080,When Compiler Optimizations Hurt Performance,https://nemanjatrifunovic.substack.com/p/when-compiler-optimizations-hurt,40,8,rbanffy,president_zippy,
45571423,My trick for getting consistent classification from LLMs,https://verdik.substack.com/p/how-to-get-consistent-classification,191,38,frenchmajesty,minimaxir,
45647166,Claude Code on the web,https://www.anthropic.com/news/claude-code-on-the-web,465,287,adocomplete,mmaunder,
45529120,I made a small LED panel,https://www.stavros.io/posts/really-small-led-panel/,73,18,Brajeshwar,stavros,
45645120,Show HN: I created a cross-platform GUI for the JJ VCS (Git compatible),https://judojj.com/,112,28,bitpatch,martinvonz,
45649178,Today is when the Amazon brain drain sent AWS down the spout,https://www.theregister.com/2025/10/20/aws_outage_amazon_brain_drain_corey_quinn/,617,273,raw_anon_1111,president_zippy,
45582958,ChkTag: x86 Memory Safety,https://community.intel.com/t5/Blogs/Tech-Innovation/open-intel/ChkTag-x86-Memory-Safety/post/1721490,241,123,ashvardanian,tdullien,
45650792,Old Computer Challenge – Modern Web for the ZX Spectrum,https://0x00.cl/blog/2025/occ-2025/,42,8,0x00cl,userbinator,
